  ,,,,,,,,
,,,,,,,,
"Information and Communication Engineering
Daffodil International University
Class Routine(Fall-2026)",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Day,Level-Term,8:20-09:50,09:50-11:20,11:20-12:50,12:50-01:10,01:10-02:40,02:40-04:10,04:10-05:40
Saturday,L1T1,ICE 1144 (302) AKP (08:30 AM-12:30 AM),,, Prayer Break,ICE 1141 (402) AIF,   MAT 1031 (407) MN,
,L1T2,,,PHY 1021 (404) NT,,GED 1012 (407) AKP, GED 1011 (404) SAM,
,L1T3,ICE 1347(404) SAM,EEE 1345(404) AIF,HUM 1011 (407) NT,,,,
,L2T1,,,,,,,
,L2T3,,ICE 2341 (403) DB , ICE 2342(403) MRT,,,,
,L3T1,,ICE 3241(402) FH,ICE 3242(304) SHS (11:20AM-01:20 PM),,ICE 3242(304) SHS (01:50 PM- 03:50PM),,
,L3T3,,,ICE 3345(402) FH ,,BBA 101 (404) MAH (01:20 PM- 03:20 PM),,
,L4T1,ICE 4156 (205) SHM (08:30AM- 12:30 PM),,,,ICE 4151 (402) DB ,,
,L4T3,,,,,,,
,,,,,,,,
,,,,,,,,
Sunday,L1T1,ICE 1141 (407) AIF,ICE 1143 (403) TA,   MAT 1031 (402) MN,Prayer Break, HUM 1000 (403) SMN (01:10PM - 03:10 PM)         ,,
,L1T2, PHY 1021 (403) NT,ENG 1002 (304) NT (10:30 AM -12:30 PM),,,GED 1012 (407) AKP,,
,L1T3,ICE 1347(304) SAM ,EEE 1346 (305) AIF (09:50 AM- 11:50 AM),,,ENG 2000 (304) NT (01:20 PM -03:20 PM),,
,L2T1,ICE 2241 (404) AKP , EEE 2243(404)SMN,,,ICE 2145 (402) AIF,ICE 2143 (407)SAM,
,L2T3,,,,,,,
,L3T1,,,,,,,
,L3T3,,,,,,,
,L4T1,ICE 4153 (403) TA,ICE 4155(402) SHM,,,,,
,L4T3,,,,,,,
,,,,,,,,
,,,,,,,,
Monday,L1T1,,,ICE 1143 (402) TA,Prayer Break,ENG 1000 (304) NT ((01:20 PM-03:20 PM),,
,L1T2, GED 1011 (404) SAM, MAT 1033 (404) MN,,,PHY 1022 (AB1) NT (01:30 PM- 03:30 PM),,
,L1T3,,ICE 1348 (302) SAM (10:20 AM- 12:20 PM),,,EEE 1345(403) AIF,HUM 1011 (403) NT,
,L2T1,EEE 2244 (305) SMN (08:50 AM- 12:50PM),,,,EEE 2243 (407) SMN,,
,L2T3,,,,,ICE 2345(407) MRT,ICE 2343 (407) SMN ,
,L3T1,ICE 3244 (304) MRT (08:20 AM- 12:20 PM),,,, ICE 3143 (402) DB ,,
,L3T3,,ICE 3341 (402) FH,   ICE 3347 (404) SHS,,ICE 3342 (302) AKP (01:45 PM- 03:45PM),,
,L4T1,GED 4010 (407) SHS,ICE 4153 (403) TA,ICE 4151 (403) DB,,,,
,L4T3,,,,,,,
,,,,,,,,
,,,,,,,,
Tuesday,L1T1,,,,Prayer Break,,,
,L1T2,PHY 1022 (AB1) NT (01:30 PM- 03:30 PM),, MAT 1033 (403) MN,,ENG 1002 (304) NT (01:30 PM -03:30 PM),,
,L1T3,,,,,,,
,L2T1,ICE 2146 (302) AIF (08:30 AM- 12:30PM),,,,ICE 2241(404)AKP,,
,L2T3,ICE 2344 (303) SMN (08:20AM-12:20PM),,,,ICE 2345(402) MRT,ICE 2341 (403) DB ,
,L3T1, ICE 3143 (403) DB ,ICE 3241(402) FH,ICE 3243 (407) MRT,,,,
,L3T3,,   ICE 3347 (407) SHS,ICE 3345(402) FH ,,,,
,L4T1,ICE 4152(304) MAH (09:00AM -01:00PM),,,,GED 4010 (407) SHS,ICE 4155(404) SHM,
,L4T3,,,,,ICE 431 (302) MAH,ICE 435 (302) MAH,
,,,,,,,,
,,,,,,,,
Wednesday,L1T1,,,,Prayer Break,,,
,L1T2,,,,,,,
,L1T3,,,,,,,
,L2T1,ICE 2242 (304) AKP (08:30 AM- 12:30 PM),,,,ICE 2143 (407)SAM,ICE 2145 (404) AIF,
,L2T3,ICE 2346 (203) MRT (08:20 AM- 12:20 PM),,,,ICE 2342 (404) MRT,ICE 2343 (402) SMN ,
,L3T1,ICE 3144 (302) DB (08:20AM-12:20PM),,,,,ICE 3243 (404) MRT, 
,L3T3,, ICE 3341 (402) FH,,,,,
,L4T1,,,,,,,
,L4T3,ICE 4998 Industrial Training,ICE 435 (403) MAH,ICE 431 (403) MAH,,ICE 4999 Capstone Project/ Thesis/ Internship,,
,,,,,,,,
,,,,,,,,
Thursday,L1T1,,,,Prayer Break,,,
,L1T2,,,,,,,
,L1T3,,,,,,,
,L2T1,,,,,,,
,L2T3,,,,,,,
,L3T1,,,,,,,
,L3T3,,,,,,,
,L4T1,,,,,,,
,L4T3,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"Prepared By: 
Amit Kumar Paul, Lecturer, ICE",,,"Dr. Md. Taslim Arefin 
Professor and Head
Department of ICE",,,"Professor Dr. M. Shamsul Alam
Dean
Faculty of Engineering",
